filename,sample,fed,python,tissue
SRR1746791.fastq,AJ6,Fasted,AJ6,CS
SRR1746792.fastq,AJ6,Fasted,AJ6,CS
SRR1746793.fastq,AJ6,Fasted,AJ6,CS
SRR1746794.fastq,S19,Fasted,S19,M
SRR1746795.fastq,AI6,Fasted,AI6,CS
SRR1746796.fastq,AI6,Fasted,AI6,CS
SRR1746797.fastq,AI8,Fasted,AI8,CS
SRR1746798.fastq,U25,Fasted,U25,CS
SRR1746799.fastq,AF2,Fasted,AF2,CS
SRR1746800.fastq,AJ7,6,AJ7,CS+M
SRR1746801.fastq,AJ7,6,AJ7,CS+M
SRR1746802.fastq,AK25,6,AK25,CS+M
SRR1746803.fastq,AK25,6,AK25,CS+M
SRR1746804.fastq,R27,6,R27,M
SRR1746805.fastq,W11,6,W11,M
SRR1746806.fastq,AK10,12,AK10,M
SRR1746807.fastq,AK10,12,AK10,M
SRR1746808.fastq,AK4,12,AK4,CS+M
SRR1746809.fastq,AK4,12,AK4,CS+M
SRR1746810.fastq,U7,12,U7,M
SRR1746811.fastq,U13,12,U13,M
SRR1746812.fastq,Z14,24,Z14,CS
SRR1746813.fastq,Z14,24,Z14,CS
SRR1746814.fastq,Z14,24,Z14,CS
SRR1746815.fastq,Z18,24,Z18,CS
SRR1746816.fastq,Z18,24,Z18,CS
SRR1746817.fastq,Z18,24,Z18,CS
SRR1746818.fastq,S6,24,S6,CS+M
SRR1746819.fastq,S6,24,S6,CS+M
SRR1746820.fastq,V43,24,V43,CS
SRR1746821.fastq,W20,24,W20,CS
SRR1746822.fastq,Y5,96,Y5,CS
SRR1746823.fastq,Y5,96,Y5,CS
SRR1746824.fastq,Y18,96,Y18,CS
SRR1746825.fastq,Y18,96,Y18,CS
SRR1746826.fastq,Y18,96,Y18,CS
SRR1746827.fastq,Y23,96,Y23,CS
SRR1746828.fastq,Y23,96,Y23,CS
SRR1746829.fastq,Y24,96,Y24,CS
SRR1746830.fastq,W2,96,W2,M
SRR1746831.fastq,W2,96,V40,CS
SRR1746832.fastq,U1,240,U1,M
SRR1746833.fastq,V29,240,V29,M
SRR1746834.fastq,W12,240,W12,M
SRR1746835.fastq,W22,240,W22,CS+M
SRR1746836.fastq,W22,240,W22,CS+M
