BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	isolate_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	estimated_size_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	isol_growth_condt_s	lat_lon_s	num_replicons_s	ploidy_s	propagation_s	source_s
SAMN03263920	SRX834418	Python bivittatus AJ6_0h_1	2015-01-12	235	143	SRR1746791	SRS812445	AJ6_0h	AJ6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263920	SRX834419	Python bivittatus AJ6_0h_2	2015-01-12	238	113	SRR1746792	SRS812445	AJ6_0h	AJ6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263920	SRX834420	Python bivittatus AJ6_0h_3	2015-01-12	295	182	SRR1746793	SRS812445	AJ6_0h	AJ6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263921	SRX834421	Python bivittatus S19_0h	2015-01-10	41	17	SRR1746794	SRS812446	S19_0h	S19	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263922	SRX834422	Python bivittatus AI6_0h_1	2015-01-12	158	89	SRR1746795	SRS812447	AI6_0h	AI6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263922	SRX834423	Python bivittatus AI6_0h_2	2015-01-12	119	57	SRR1746796	SRS812447	AI6_0h	AI6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263923	SRX834424	Python bivittatus AI8_0h	2015-01-16	451	307	SRR1746797	SRS812448	AI8_0h	AI8	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263924	SRX834425	Python bivittatus U25_0h	2015-01-16	670	463	SRR1746798	SRS812449	U25_0h	U25	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263925	SRX834426	Python bivittatus AF2_0h	2015-01-12	72	30	SRR1746799	SRS812450	AF2_0h	AF2	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263926	SRX834427	Python bivittatus AJ7_6h_1	2015-01-12	74	32	SRR1746800	SRS812451	AJ7_6h	AJ7	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263926	SRX834428	Python bivittatus AJ7_6h_2	2015-01-12	129	56	SRR1746801	SRS812451	AJ7_6h	AJ7	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263927	SRX834429	Python bivittatus Ak25_6h_1	2015-01-12	127	55	SRR1746802	SRS812452	AK25_6h	AK25	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263927	SRX834430	Python bivittatus Ak25_6h_2	2015-01-12	44	20	SRR1746803	SRS812452	AK25_6h	AK25	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263928	SRX834431	Python bivittatus R27_6h	2015-01-12	51	21	SRR1746804	SRS812453	R27_6h	R27	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263929	SRX834432	Python bivittatus W11_6h	2015-01-12	42	17	SRR1746805	SRS812454	W11_6h	W11	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263930	SRX834433	Python bivittatus Ak10_12h_1	2015-01-12	24	11	SRR1746806	SRS812455	AK10_12h	AK10	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263930	SRX834434	Python bivittatus Ak10_12h_2	2015-01-10	78	35	SRR1746807	SRS812455	AK10_12h	AK10	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263931	SRX834435	Python bivittatus Ak4_12h_1	2015-01-12	74	31	SRR1746808	SRS812456	AK4_12h	AK4	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
