AF2	AI6	AI8	AJ6	AJ7	AK10	AK25	AK4	R27	S19	S6	U1	U13	U25	U7	V29	V43	W11	W12	W2	W20	W22	Y18	Y23	Y24	Y5	Z14	Z18
A1CF	36	92	57	276	127	90	91	98	21	5	178	19	42	46	21	72	64	9	37	34	104	56	239	91	77	283	207	38
A2M	0	1	22	0	0	15	1	1	0	0	3	5	0	11	9	0	16	3	1	0	1	0	10	0	7	0	0	10
A2ML1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	2	0	0	1	4	3	0	6	5	1	0	0
AAAS	27	24	7	126	45	21	45	37	1	3	60	5	12	6	9	70	9	0	17	16	36	39	69	43	19	40	88	12
AACS	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
AADAC	20	36	20	266	873	226	496	728	249	9	757	30	264	10	289	76	203	188	48	153	365	114	605	289	337	560	981	170
AADAT	1	3	6	8	4	0	4	0	0	0	0	6	1	6	0	11	0	0	5	5	0	5	11	6	5	2	14	1
AAED1	1	0	4	9	0	0	0	0	0	2	2	0	0	0	2	5	0	1	1	1	3	5	3	1	3	0	0	0
AAGAB	18	31	12	48	47	15	83	51	0	4	39	15	14	7	10	49	10	0	10	25	39	38	28	20	17	10	31	7
AAK1	25	139	34	254	358	150	152	144	4	8	154	26	43	39	21	84	93	5	49	41	78	101	340	70	114	183	636	56
AAMDC	9	22	6	2	12	7	15	12	3	3	5	1	1	1	7	32	3	1	16	5	7	11	14	11	4	21	29	4
AAMP	51	121	77	300	163	71	232	149	24	14	148	15	57	26	92	138	33	14	55	54	122	85	62	40	33	62	219	31
AANAT	3	2	3	1	15	9	6	10	2	1	15	0	1	1	5	9	3	0	1	4	9	6	16	2	12	13	21	1
AASDH	80	125	116	528	60	17	64	49	28	20	65	69	15	64	27	457	30	27	140	46	57	122	205	52	52	105	74	27
AASS	12	24	29	23	20	6	19	6	1	8	4	2	2	36	0	20	5	1	4	2	1	5	10	0	12	1	79	14
AATF	333	453	92	653	202	78	363	162	30	11	67	46	29	16	59	419	28	25	139	56	64	245	284	64	37	70	139	28
AATK	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	1	0	0	0
ABAT	3	15	10	69	3564	1191	3178	1362	30	2	1860	5	467	7	190	7	629	37	38	26	711	10	50	182	338	715	4441	461
ABCA1	10	13	10	56	199	55	19	38	0	0	64	5	1	12	2	9	17	0	3	6	35	4	36	9	39	10	0	2
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCA2	58	504	98	588	99	40	99	58	1	18	44	146	15	107	12	1608	142	1	186	105	18	232	1300	316	407	806	313	120
ABCA3	30	68	35	142	79	38	30	35	0	7	51	25	9	47	6	76	23	0	20	65	48	77	254	39	132	124	40	19
ABCA4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	1
ABCA5	4	21	23	183	12	3	9	3	2	4	6	3	4	21	2	36	6	4	8	9	1	10	95	42	12	67	11	11
ABCA9	0	0	6	58	3	0	3	2	0	0	1	0	1	3	0	13	0	0	1	2	0	1	7	1	3	5	1	2
ABCB1	1203	2295	526	2900	1049	458	963	755	120	343	607	557	138	530	68	3216	180	131	1968	2497	142	4088	6280	437	1219	1863	831	82
ABCB10	22	24	26	71	67	22	46	39	12	2	56	3	14	10	22	94	11	30	22	17	46	34	73	31	18	40	30	6
ABCB11	0	0	1	0	5	6	0	6	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1
ABCB6	41	50	23	137	64	36	82	77	9	10	187	8	27	11	69	130	32	13	66	30	29	69	110	100	45	124	397	75
ABCB7	137	138	77	369	323	86	168	182	56	23	266	50	86	38	72	405	62	54	155	179	145	199	554	175	139	311	384	39
ABCB8	16	45	15	151	27	7	9	18	4	2	35	25	9	11	5	142	26	0	42	66	32	148	152	71	80	108	101	19
ABCB9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
ABCC10	18	27	27	150	42	19	54	46	2	5	34	12	12	7	30	54	21	1	24	11	17	16	46	41	23	76	143	13
ABCC12	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
ABCC2	103	342	154	1645	1682	676	1432	990	138	38	1178	81	370	90	372	450	367	99	161	98	365	176	486	415	397	833	2838	298
ABCC3	9	19	6	43	22	9	32	8	7	0	3	8	12	9	13	46	8	5	14	8	4	13	69	13	4	19	36	5
ABCC4	15	74	62	124	42	11	27	27	6	17	26	16	17	37	15	135	26	17	53	11	27	43	98	24	11	46	84	30
ABCC5	6	106	71	267	615	157	808	453	110	3	301	39	168	41	317	533	218	63	127	86	53	66	175	560	129	966	2108	477
ABCC6	35	137	70	254	80	4	35	20	4	17	36	47	11	36	37	465	29	1	74	47	30	132	411	117	111	201	288	41
ABCC8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	7	2	1	1	0	0	0	15	3	1	0	0	5
ABCC9	1	10	9	5	4	2	8	8	1	0	6	3	1	2	2	8	3	0	1	1	8	2	20	24	4	13	18	5
ABCD1	70	86	37	165	131	50	71	80	8	12	80	29	22	33	23	184	33	4	61	55	76	137	143	49	110	113	217	17
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	47	81	32	345	615	315	527	526	50	11	461	40	187	34	104	178	67	82	67	96	259	122	370	113	163	290	460	58
ABCD4	46	80	38	112	16	9	7	15	2	11	15	46	10	32	4	446	5	2	77	56	15	125	122	4	40	49	31	6
ABCE1	191	152	134	989	509	191	577	440	224	32	568	40	169	74	151	201	118	225	123	104	388	191	277	68	73	130	540	92
ABCF1	785	1120	365	2500	1384	514	1214	775	237	75	469	188	206	165	364	1967	162	115	485	521	279	899	1153	391	227	827	1336	111
ABCF3	46	93	49	116	234	132	176	200	12	9	419	28	83	22	72	165	98	9	48	46	249	74	118	70	56	156	432	51
ABCG4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	11	18	7	10	91	63	71	142	29	0	252	6	51	8	50	49	57	17	17	10	134	15	147	64	61	104	281	66
ABHD10	12	9	15	209	39	15	28	47	13	2	53	22	14	10	9	64	15	15	20	15	30	40	69	40	27	23	95	8
ABHD11	0	3	2	3	10	4	5	3	3	0	11	2	5	0	4	8	4	0	4	5	15	2	13	30	4	12	17	3
ABHD12	14	25	11	203	54	18	35	32	10	0	78	7	16	12	9	59	22	6	16	19	55	34	98	32	56	34	101	20
ABHD12B	1	0	1	1	2	1	5	5	0	0	22	0	2	3	3	0	3	1	0	1	1	1	2	43	34	70	23	1
ABHD13	14	38	30	49	152	49	126	88	66	3	177	11	49	10	66	75	44	68	29	23	132	47	63	37	22	40	135	37
ABHD14B	72	140	31	702	284	143	185	306	18	22	543	47	106	35	50	195	104	18	80	212	322	201	439	215	201	613	1049	76
ABHD16A	56	116	30	284	114	61	97	91	6	7	70	20	42	19	49	210	41	1	41	49	44	93	292	150	46	148	225	15
ABHD17B	16	8	18	74	99	35	88	65	34	3	92	9	32	10	31	60	25	45	23	24	46	46	203	32	34	75	36	14
ABHD17C	55	89	112	329	251	125	173	179	78	20	208	42	97	56	180	314	90	58	99	70	159	153	460	189	116	313	486	90
ABHD2	59	268	126	662	1102	476	482	548	229	20	1118	26	279	125	476	327	459	233	114	184	930	191	919	394	693	1078	1426	372
ABHD4	23	52	17	131	39	21	21	56	7	5	85	27	39	15	18	140	33	3	34	40	40	69	148	104	58	239	246	29
ABHD5	17	8	15	34	136	57	100	120	41	6	219	11	47	7	34	46	27	42	11	47	150	18	130	67	52	114	106	26
ABHD8	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0
ABI1	110	285	125	793	157	81	150	141	45	38	303	61	72	82	58	535	82	41	143	123	230	226	370	119	118	202	645	60
