baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1CF	64.6160675162504	0.145960691241119	0.426493260356059	0.342234461382259	0.732174452865026	0.853417633105666
A2M	5.74861613195221	0.721962693945794	0.826688308649624	0.873319105147504	0.382489169879422	0.596136240703895
A2ML1	0.907181247258576	0.30852213449438	0.806038662905307	0.382763443855578	0.7018951686263	NA
AAAS	20.5376574778851	0.778573786941793	0.517145957714304	1.50552039579494	0.132190337195092	0.309831853520546
AACS	0.270706842338068	-0.449447095364386	0.678904448871595	-0.662018191383796	0.507959563269942	NA
AADAC	233.466159270397	-3.31412313969671	0.398323771428587	-8.32017413324498	8.783417453598e-17	4.14451826417631e-14
AADAT	3.20492828275708	0.873029838563408	0.77214295295215	1.13065830002791	0.258198939037091	0.470332880540197
AAED1	1.47707695793246	1.55952808390467	0.827707999588032	1.88415248454876	0.0595443526069572	0.181266912878699
AAGAB	18.9209959990826	0.763072647282633	0.593804606176416	1.28505680041143	0.198772436030697	0.401066191942206
AAK1	79.9666413752096	-0.201046384338842	0.552487253158333	-0.363893253988298	0.715937722355281	0.843948000335293
AAMDC	7.50673174139502	0.394567493053689	0.666875273414287	0.591666101268939	0.554074200573931	0.736773610063242
AAMP	67.7308985153132	0.565791388147273	0.387613831606147	1.45967801459204	0.144378586974485	0.326967756446159
AANAT	4.46693910883557	-0.512073279320806	0.71719095810049	-0.713998515370374	0.475228097486185	0.67563904271898
AASDH	75.6433273790751	1.25606362890302	0.357378192499791	3.51466221292658	0.000440313665847321	0.00514867830379122
AASS	12.3329870040023	1.61570342175649	0.720729453939915	2.24176133349919	0.024976801498944	0.0996357190229615
AATF	109.466040070655	0.701870927995323	0.512815835478807	1.36866079289458	0.171105331325495	0.363437593745614
AATK	0.365903941768404	-0.00093883246151624	0.707266426899193	-0.00132740990638037	0.998940880440873	NA
ABAT	437.502322105112	-4.75744180842033	0.70538936983823	-6.74441948212428	1.53640061746915e-11	2.38810881858853e-09
ABCA1	16.6400119299077	-0.619854505778548	0.799182974468579	-0.775610248942957	0.437979147097539	0.643167777198253
ABCA12	0.0981818919230862	0	0.503954155120331	0	1	NA
ABCA2	174.751737596345	1.53531725710516	0.608580297793546	2.52278501731253	0.0116429555829026	0.0576994482975653
ABCA3	42.7187077380557	1.67360804789521	0.595822470303997	2.80890387876997	0.0049710486176311	0.0311563066110731
ABCA4	0.190242245243071	0.157113948693945	0.59890324047247	0.262336113877092	0.793062321840333	NA
ABCA5	14.5061875449954	1.20475893759759	0.610899100489558	1.97210789250161	0.0485972911785089	0.157253835672412
ABCA9	2.04115591459017	1.34077454861214	0.801440195818297	1.67295645465244	0.094335868744404	0.247196647729287
ABCB1	1003.97120953306	2.28646469247056	0.486817894319223	4.69675564343831	2.64326353533133e-06	8.93166184879734e-05
ABCB10	25.1892400690369	-0.607829700153532	0.499638562817475	-1.2165388050233	0.223779738081366	0.431932490800732
