baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1CF	64.6160675162504	-0.609198997189953	0.375022558970465	-1.62443293774743	0.104283442171589	0.224532101874333
A2M	5.74861613195221	-0.465360071241565	0.858147176605393	-0.542284684874696	0.587622404389388	0.735153608973948
A2ML1	0.907181247258576	0.604996628101126	0.842324696035328	0.718246337723134	0.472605411232425	NA
AAAS	20.5376574778851	0.564509746504582	0.456875826613001	1.2355868129192	0.216612188955505	0.377735541220391
AACS	0.270706842338068	-0.634810792344022	0.704502161986277	-0.901077138719111	0.367547307111579	NA
AADAC	233.466159270397	-2.96441466589494	0.348436283625869	-8.5077668578223	1.77315282703834e-17	4.42284535348054e-15
AADAT	3.20492828275708	2.35244907230522	0.826727972524822	2.84549350026328	0.00443426644038106	0.0199459007627893
AAED1	1.47707695793246	0.737607628683819	0.876988516405019	0.841068742504685	0.400309424839076	0.576223654284308
AAGAB	18.9209959990826	0.801452727346178	0.543499530642572	1.47461530720851	0.140315997199932	0.279796351255065
AAK1	79.9666413752096	-0.288817822019626	0.503723054847718	-0.57336629570576	0.566396706034773	0.718319690500739
AAMDC	7.50673174139502	0.875907841308235	0.632862121774099	1.38404213362116	0.16634555383323	0.314290156020481
AAMP	67.7308985153132	-0.498559725835941	0.333752576404607	-1.49380038112886	0.135227801905742	0.272655242708244
AANAT	4.46693910883557	-0.892690331206446	0.71073744561424	-1.25600576797379	0.209113878843801	0.368548923918817
AASDH	75.6433273790751	1.82871512260469	0.321720821691789	5.68416776069475	1.31451195894042e-08	4.33068435390514e-07
AASS	12.3329870040023	1.50079113972891	0.77059028301454	1.94758637996034	0.0514644747666111	0.13280506664349
AATF	109.466040070655	0.727152148720848	0.501504731759664	1.44994075363843	0.147075041436472	0.288947347614206
AATK	0.365903941768404	-0.287846283748313	0.724992173644557	-0.397033642861689	0.691342651808231	NA
ABAT	437.502322105112	-4.08812110258798	0.622156423599274	-6.57088948618026	5.00155722249137e-11	3.1636644249443e-09
ABCA1	16.6400119299077	-0.918733073550793	0.83155892028319	-1.10483220267533	0.269232303984224	0.440260614590803
ABCA12	0.0981818919230862	0	0.483857498666439	0	1	NA
ABCA2	174.751737596345	3.50458976375602	0.587741942689351	5.96280358641744	2.47946398352307e-09	1.02753961950392e-07
ABCA3	42.7187077380557	1.19574638341253	0.545068839867077	2.19375296467898	0.0282531738905806	0.0843130832581208
ABCA4	0.190242245243071	0.295806177559379	0.615805554622802	0.480356462098769	0.630973946978386	NA
ABCA5	14.5061875449954	1.00850877128849	0.624433191867632	1.61507873768228	0.106293644800021	0.227932195337596
ABCA9	2.04115591459017	1.19773589559474	0.870196083306753	1.37639770917301	0.168698536838232	0.317782082787323
ABCB1	1003.97120953306	2.29268396485064	0.477070870354666	4.80575131981167	1.5417143530006e-06	2.67122722761047e-05
ABCB10	25.1892400690369	-0.675087214936046	0.450503725397449	-1.49851638705199	0.133999138300941	0.270825349080942
ABCB11	0.689732044722471	-1.3136142415011	0.822004493996519	-1.59806211656389	0.110029153597255	NA
ABCB6	51.8358711835408	0.0793673815309698	0.449491800311694	0.176571366765608	0.859845086664613	0.921376391783311
ABCB7	130.498847778763	0.268591498435698	0.268529537869728	1.00023074022494	0.317198855986882	0.491775404731627
ABCB8	34.5368629657272	2.22667550746799	0.527593995416715	4.22043375552308	2.43832702679542e-05	0.000272943973702247
ABCB9	0.0940062705660829	0.124076203112443	0.485218084100143	0.255712239873638	0.798173043276214	NA
ABCC10	23.6500481252602	0.398151926337018	0.455799500033207	0.873524271764255	0.382377382537043	0.558319968758527
ABCC12	0.23215423707463	0.608000145496535	0.700828892234087	0.867544349603461	0.385643822987582	NA
ABCC2	389.469720387223	-1.33416508759005	0.352627434716767	-3.78349769824817	0.000154639755338477	0.00129143244824679
ABCC3	11.8681777423305	-0.0535620947383363	0.534715418867072	-0.100169347747295	0.920209880545588	0.95683298889513
ABCC4	34.717019107418	1.24532819246601	0.45373238282187	2.74463150441459	0.00605788778502697	0.0254411902189805
ABCC5	223.540084066356	-1.02787488801242	0.562959040472367	-1.82584311489155	0.0678738968176283	0.163233202825004
ABCC6	66.5316596536197	2.520952433096	0.496326355620667	5.07922338708669	3.78980880940873e-07	7.91489296372566e-06
ABCC8	1.02709783031505	0.297907285742271	0.859119150884875	0.346758986149282	0.728772391788133	NA
ABCC9	4.50072356409894	0.453018417142512	0.743634942968137	0.609194634311211	0.542395436454449	0.700211343522766
ABCD1	56.632640585069	1.04239702775531	0.384890697061345	2.70829364210163	0.00676301553845692	0.0276374236223804
ABCD2	0.0127355544748026	0.174285366639157	0.481795240961529	0.361741569491911	0.717545159804892	NA
ABCD3	149.945073227909	-1.52614656577733	0.379744498223632	-4.01887735810876	5.84760969416593e-05	0.000570940916963616
ABCD4	39.0319935689887	3.33520579204009	0.491104154010077	6.7912392204519	1.11174399243882e-11	8.74836641669121e-10
ABCE1	204.843469293608	-1.54168196867885	0.349587219175609	-4.4100066710517	1.03367434751025e-05	0.000135298761129559
ABCF1	487.690070247869	0.227994322811831	0.365289357856252	0.624147180607301	0.532530931301704	0.692437274688192
ABCF3	84.7328957308001	-0.558305958746458	0.397759980797595	-1.40362526573672	0.160430467400897	0.306842406317566
ABCG4	0.123713011011394	0.452183196598613	0.488201186141467	0.926223060153695	NA	NA
ABHD1	48.4587484441142	-1.99849359311994	0.428512242600874	-4.66379579026726	3.10429444412011e-06	4.90307915785757e-05
ABHD10	23.9519195644536	0.241937570893076	0.458891853689023	0.527221324475789	0.598039901845427	0.743612443792
ABHD11	4.7286409541762	-0.456131299912523	0.685001439057016	-0.665883710464085	0.505485433212187	0.669357077186678
ABHD12	25.4852129705091	-0.196511802483654	0.4480259660442	-0.438616994052231	0.660939081225339	0.791665729256046
ABHD12B	5.74960181496899	-1.57155292908223	0.841206095580271	-1.86821391016925	0.0617322606572967	0.151860901728594
ABHD13	53.3905950910378	-1.92068959679822	0.38498354783352	-4.9890173427068	6.06871992946178e-07	1.21374398589236e-05
ABHD14B	149.293355383494	-0.009663566486018	0.404003836983439	-0.0239194918498116	0.980916826482599	0.991037099434464
ABHD16A	57.606449547594	0.245148487066612	0.429488555115358	0.570791664054392	0.568140874220856	0.719557733227588
ABHD17B	37.0216747894041	-1.44704546202118	0.447608801012525	-3.23283514253485	0.0012256827234797	0.00708196049143431
ABHD17C	127.98941324528	-0.651870009851228	0.237511641349413	-2.74458130198442	0.00605881445288919	0.0254411902189805
ABHD2	375.454867154162	-2.28919875237749	0.341711410704537	-6.69921659232169	2.09539824607803e-11	1.51447202141569e-09
ABHD4	42.8473800752501	0.728121601112857	0.439688260596309	1.65599509098872	0.097722812955707	0.21449370534193
ABHD5	49.229641408423	-1.82983976957492	0.420664911159905	-4.34987497419141	1.36215172637819e-05	0.00016892725912495
ABHD8	0.277236219458688	0.176674431930658	0.634597203188194	0.278404050700275	0.780702210374351	NA
ABI1	139.295774079755	0.819329434235404	0.273662298141521	2.99394341054498	0.00275397018145427	0.0136472348545453
ABI2	11.7275983742821	0.0267830031821586	0.579213743348882	0.046240275700824	0.96311874142349	0.980700127984175
ABI3	6.87925834456059	-0.331336146770614	0.637779590471075	-0.519515129867803	0.603401564909465	0.747817445214505
ABI3BP	12.1288031673446	-0.421821668158476	0.785220338065292	-0.537201658833499	0.591128325553642	0.737585319850793
ABL1	6.26176594512015	-0.563782042088416	0.771844915952891	-0.730434353373167	0.465124726104928	0.63325941082463
ABL2	10.4648037749808	1.33564147196669	0.712660167766442	1.87416321604271	0.0609079323772434	0.150392765414112
