baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1CF	64.6160675162504	-0.458126598767937	0.328456757096258	-1.39478512428252	0.163080646057394	0.403655896064174
A2M	5.74861613195221	0.72056604369283	0.867175887492526	0.830934132378122	0.406010840286905	0.659073140556866
A2ML1	0.907181247258576	-0.903404823341634	0.878889743237383	-1.02789323722672	0.304000051078896	NA
AAAS	20.5376574778851	-0.0788309552196443	0.381119295149803	-0.206840630277349	0.836134323858298	0.928409256758222
AACS	0.270706842338068	-1.11466254276214	0.762343365222979	-1.46215287442832	0.143699322192409	NA
AADAC	233.466159270397	-2.56541838923541	0.323585922106429	-7.92809023499988	2.22541590818125e-15	2.45166652551301e-12
AADAT	3.20492828275708	0.307518301703316	0.720036751682638	0.427086952137767	0.669315996157377	0.842282261621359
AAED1	1.47707695793246	0.556499639937107	0.848637745836406	0.65575640804031	0.511980868402187	0.740847163134242
AAGAB	18.9209959990826	0.654746304073357	0.489816723597202	1.33671692396478	0.181315055497079	0.429590266182226
AAK1	79.9666413752096	-0.445990515125607	0.471047754606385	-0.946805309576911	0.343737995704264	0.605941238170902
AAMDC	7.50673174139502	0.163139181931536	0.57049017321515	0.285963176214099	0.774906325444064	0.89794059957974
AAMP	67.7308985153132	1.32374334711448	0.308905462353556	4.28527011801232	1.82517290415626e-05	0.000647788631040288
AANAT	4.46693910883557	-1.17308489946866	0.622811504538026	-1.88353119831786	0.0596284159452193	0.222366053256925
AASDH	75.6433273790751	1.07686053934336	0.290179912132808	3.71100994355014	0.000206433993846708	0.00433183714071981
AASS	12.3329870040023	2.1987033058285	0.716455692991246	3.06886151835682	0.00214876170025209	0.0246371462943042
AATF	109.466040070655	1.78864849577918	0.47712643313787	3.74879355146173	0.000177687274726517	0.00378265019627143
AATK	0.365903941768404	0.116595145798948	0.790661930227488	0.14746523304265	0.882764819694316	NA
ABAT	437.502322105112	-3.66860921131686	0.598647425132675	-6.12816335174883	8.88992903449407e-10	1.83632596618768e-07
ABCA1	16.6400119299077	-0.213564272710483	0.805765595114904	-0.265045162023862	0.790974671232936	0.905755853263231
ABCA12	0.0981818919230862	0	0.510914295897809	0	1	NA
ABCA2	174.751737596345	-0.836663390051952	0.554500550460262	-1.50885944000864	0.131334706890897	0.357105064808238
ABCA3	42.7187077380557	-0.464707815207101	0.490101853446213	-0.94818620239742	0.343034670010524	0.60554268471338
ABCA4	0.190242245243071	-0.0724549136056937	0.672339037963856	-0.107765442008424	0.914181756482209	NA
ABCA5	14.5061875449954	-0.125304357085479	0.524566062103766	-0.238872405475389	0.811204523457766	0.916748486930387
ABCA9	2.04115591459017	0.937582929955346	0.792464723717064	1.1831226070955	0.236760559418774	0.499080681322517
ABCB1	1003.97120953306	0.315023417545447	0.459428203583951	0.6856858483828	0.492911232605739	0.728410693251215
ABCB10	25.1892400690369	0.0973743153174868	0.409171535685222	0.237979201447672	0.811897225680203	0.916904264778087
ABCB11	0.689732044722471	0.058289528490557	0.849795950318371	0.0685923820520905	0.945314082827944	NA
ABCB6	51.8358711835408	-0.514807468776269	0.417419631797968	-1.23330919190077	0.217460429782443	0.477149689912681
ABCB7	130.498847778763	-0.417855486566745	0.245698870024521	-1.70068135244189	0.089002838585756	0.28379583359954
ABCB8	34.5368629657272	-0.540563561934783	0.453136997788551	-1.19293627440024	0.232894331401278	0.495472008549226
ABCB9	0.0940062705660829	-0.0707152817905213	0.519987504045633	-0.135994194553405	0.891825870402729	NA
ABCC10	23.6500481252602	-0.16620840647179	0.400721307802895	-0.414773068552532	0.67830803654454	0.847356482077868
ABCC12	0.23215423707463	0.640355003307656	0.763730762770415	0.838456475138939	0.401774382747593	NA
