baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1CF	64.6160675162504	-0.409947572708519	0.551762795291633	-0.742977917697118	0.457495049835923	0.894785850021315
A2M	5.74861613195221	0.0105379798509976	0.717003289839369	0.0146972545319261	0.988273709688915	1
A2ML1	0.907181247258576	-0.318732084763685	0.724664795151857	-0.439833819575702	0.660057471177871	NA
AAAS	20.5376574778851	-0.146781176495756	0.621192976554173	-0.236289175885355	0.813208285558864	0.982432551487042
AACS	0.270706842338068	0	0.538809938725798	0	1	NA
AADAC	233.466159270397	-1.93431514047269	0.518207803640724	-3.73270168238099	0.000189436906037862	0.0424155343486711
AADAT	3.20492828275708	0.263244254886409	0.838218207155792	0.314052179538832	0.753481408508166	0.975730309040146
AAED1	1.47707695793246	0.553282094788054	0.803426316979697	0.688653188344632	0.491041541195514	0.903669856362658
AAGAB	18.9209959990826	-0.468582142793536	0.703811759054245	-0.665777655410587	0.505553229112776	0.909432412406836
AAK1	79.9666413752096	-0.269872792051376	0.69155854697394	-0.390238531838354	0.696360171485348	0.966885097135129
AAMDC	7.50673174139502	0.663087094574258	0.779121160439857	0.851070575723946	0.394730149351803	0.873433227955392
AAMP	67.7308985153132	-0.390833040259019	0.500726477077425	-0.780532003300848	0.435077797653848	0.886994023594791
AANAT	4.46693910883557	-0.868681312105089	0.828007183699	-1.0491229172969	0.294121549740246	0.827019516608081
AASDH	75.6433273790751	1.22513704047142	0.483752106053875	2.53257200359347	0.011322911200531	0.381998060983518
AASS	12.3329870040023	1.01688377326694	0.83195986088253	1.22227504123605	0.221603634398837	0.778022673931376
AATF	109.466040070655	0.548351874493602	0.690956685670882	0.793612517058406	0.427421043252522	0.885874713988508
AATK	0.365903941768404	0	0.5682627497799	0	1	NA
ABAT	437.502322105112	-1.29792067898783	0.784540261076415	-1.65437102897312	0.0980521491395566	0.660116360017132
ABCA1	16.6400119299077	-0.656963374819348	0.840016897067097	-0.782083523692348	0.434165489040627	0.886994023594791
ABCA12	0.0981818919230862	-0.570987686399356	0.359264234443116	-1.58932515863825	0.111987001586546	NA
ABCA2	174.751737596345	1.00962017475644	0.751654927760771	1.3431963757148	0.179208394922915	0.73748464264072
ABCA3	42.7187077380557	-0.944696370839874	0.708231343349937	-1.33388105413615	0.182242841588814	0.740247693025973
ABCA4	0.190242245243071	-0.196933470003808	0.477506402508745	-0.412420585292993	0.680031177504569	NA
ABCA5	14.5061875449954	-0.027337868613371	0.762254753736499	-0.0358644776951058	0.971390420327205	1
ABCA9	2.04115591459017	-0.0682794208840048	0.835125425483349	-0.0817594804331175	0.934837978082957	0.999351872213853
ABCB1	1003.97120953306	-0.658079929560753	0.669181923607523	-0.98340960259817	0.325405886089809	0.845660268443808
ABCB10	25.1892400690369	-0.105192218681824	0.64299231092786	-0.163597941832349	0.870047665055687	0.991142890320903
ABCB11	0.689732044722471	0	0.654626350741331	0	1	NA
ABCB6	51.8358711835408	0.20141698668674	0.639701800878581	0.31486074669496	0.75286738640423	0.975481151583304
ABCB7	130.498847778763	-0.695073334231129	0.408002600158623	-1.70360025637312	0.0884557935558297	0.645945989553934
ABCB8	34.5368629657272	-0.702668788508225	0.670670593491923	-1.04771074701472	0.294771894574111	0.828009599449173
ABCB9	0.0940062705660829	0.0646455432338891	0.360878975803694	0.179133580973845	0.857832814646458	NA
ABCC10	23.6500481252602	0.574275054564604	0.647612381989402	0.886757372983647	0.375209542004898	0.868247288566879
