XM_007422494.1,A1CF
XM_007432636.1,A2M
XM_007441586.1,A2ML1
XM_007433968.1,A4GNT
XM_007423730.1,AAAS
XM_007423731.1,AAAS
XM_007423732.1,AAAS
XM_007443031.1,AACS
XM_007439658.1,AADAC
XM_007441780.1,AADAT
XM_007429493.1,AAED1
XM_007430147.1,AAGAB
XM_007430148.1,AAGAB
XM_007436802.1,AAK1
XM_007444795.1,AAMDC
XM_007433937.1,AAMP
XM_007431842.1,AANAT
XM_007442534.1,AASDH
XM_007420362.1,AASS
XM_007421155.1,AATF
XM_007419873.1,AATK
XM_007436153.1,ABAT
XM_007428637.1,ABCA1
XM_007424272.1,ABCA12
XM_007424273.1,ABCA12
XM_007427072.1,ABCA2
XM_007427073.1,ABCA2
XM_007437970.1,ABCA3
XM_007422849.1,ABCA4
XM_007421641.1,ABCA5
XM_007421642.1,ABCA5
XM_007421646.1,ABCA9
XM_007424704.1,ABCB1
XM_007438753.1,ABCB10
XM_007421852.1,ABCB11
XM_007419806.1,ABCB6
XM_007427549.1,ABCB7
XM_007444010.1,ABCB8
XM_007433160.1,ABCB9
XM_007430731.1,ABCC10
XM_007430732.1,ABCC10
XM_007421861.1,ABCC12
XM_007424753.1,ABCC2
XM_007432998.1,ABCC3
XM_007432999.1,ABCC3
XM_007433000.1,ABCC3
XM_007433001.1,ABCC3
XM_007434365.1,ABCC4
XM_007444372.1,ABCC5
XM_007433651.1,ABCC6
XM_007431463.1,ABCC8
XM_007437393.1,ABCC9
XM_007437394.1,ABCC9
XM_007420473.1,ABCD1
XM_007420474.1,ABCD1
XM_007420541.1,ABCD2
XM_007434582.1,ABCD3
XM_007433511.1,ABCD4
XM_007428628.1,ABCE1
XM_007439736.1,ABCF1
XM_007438068.1,ABCF3
XM_007439282.1,ABCG4
XM_007426480.1,ABHD1
XM_007423798.1,ABHD10
XM_007440765.1,ABHD11
XM_007436406.1,ABHD12
XM_007437297.1,ABHD12B
XM_007432163.1,ABHD13
XM_007432164.1,ABHD13
XM_007432165.1,ABHD13
XM_007432166.1,ABHD13
XM_007425892.1,ABHD14B
XM_007425893.1,ABHD14B
XM_007425894.1,ABHD14B
XM_007435739.1,ABHD16A
XM_007435740.1,ABHD16A
XM_007434505.1,ABHD17B
XR_456371.1,ABHD17B
XM_007432110.1,ABHD17C
XM_007433189.1,ABHD2
XM_007433190.1,ABHD2
XM_007445497.1,ABHD3
XM_007438504.1,ABHD4
XM_007438505.1,ABHD4
XM_007438506.1,ABHD4
XM_007438507.1,ABHD4
XM_007438508.1,ABHD4
XM_007438509.1,ABHD4
XM_007438510.1,ABHD4
XM_007421367.1,ABHD5
XM_007440953.1,ABHD8
XM_007420750.1,ABI1
XM_007420751.1,ABI1
XM_007420752.1,ABI1
XM_007420753.1,ABI1
XM_007420754.1,ABI1
XM_007420755.1,ABI1
XM_007420756.1,ABI1
XM_007431047.1,ABI2
XM_007431048.1,ABI2
XM_007431049.1,ABI2
XM_007431050.1,ABI2
XM_007431051.1,ABI2
XM_007428915.1,ABI3
XM_007428916.1,ABI3
XM_007439018.1,ABI3BP
XM_007439019.1,ABI3BP
XM_007439020.1,ABI3BP
XM_007439021.1,ABI3BP
XM_007439022.1,ABI3BP
XM_007436918.1,ABL1
XM_007428769.1,ABL2
XM_007428822.1,ABLIM1
XM_007428823.1,ABLIM1
XM_007428824.1,ABLIM1
XM_007428825.1,ABLIM1
XM_007428826.1,ABLIM1
